longitude,housing_median_age,total_rooms,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,income_category,age_category
-1.3278352216308462,0.9821426581785077,-0.8048190966246049,2.3447657583017163,452600.0,False,False,True,False,very_high,very_new
-1.3228439144608317,-0.6070189133741593,2.045890099248613,2.3322379635373314,358500.0,False,False,True,False,very_high,
-1.3328265288008536,1.8561815225324745,-0.5357458858226144,1.7826994032844994,352100.0,False,False,True,False,very_high,very_new
-1.3378178359708683,1.8561815225324745,-0.6242145905667101,0.9329675088245888,341300.0,False,False,True,False,very_high,very_new
-1.3378178359708683,1.8561815225324745,-0.4624039544285455,-0.012880995886439435,342200.0,False,False,True,False,medium,very_new
-1.3378178359708683,1.8561815225324745,-0.7869420008473006,0.08744663781489194,269700.0,False,False,True,False,high,very_new
-1.3378178359708683,1.8561815225324745,-0.046188493767204096,-0.11136630682830236,299200.0,False,False,True,False,medium,very_new
-1.3378178359708683,1.8561815225324745,0.21463374975295366,-0.39513664957954914,241400.0,False,False,True,False,low,very_new
-1.3428091431408828,1.0616007367561409,-0.03702075234294548,-0.9423591469347639,226700.0,False,False,True,False,very_low,very_new
-1.3378178359708683,1.8561815225324745,0.41861599644270797,-0.0944695752343217,261100.0,False,False,True,False,medium,very_new
-1.3428091431408828,1.8561815225324745,-0.19883138848111012,-0.35139464349045885,281500.0,False,False,True,False,medium,very_new
-1.3428091431408828,1.8561815225324745,0.3975301911669131,-0.31591677092241194,241800.0,False,False,True,False,medium,very_new
-1.3428091431408828,1.8561815225324745,-0.06635752490057306,-0.41882365648699876,213500.0,False,False,True,False,low,very_new
-1.3428091431408828,1.8561815225324745,-0.8891623177277842,-0.6301117581014498,191300.0,False,False,True,False,low,very_new
-1.3428091431408828,1.8561815225324745,0.003317309923792452,-1.028527214284753,159200.0,False,False,True,False,very_low,very_new
-1.3428091431408828,1.6972653653772076,-0.6948061995335015,-0.9188826911998249,140000.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.8561815225324745,-0.30701073728736183,-0.5767370358699966,152500.0,False,False,True,False,low,very_new
-1.3478004503108902,1.8561815225324745,-0.645300395842505,-0.9214093052699528,155500.0,False,False,True,False,very_low,very_new
-1.3428091431408828,1.6972653653772076,-0.1818710668462317,-0.9893646961977695,158700.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.8561815225324745,-0.519243951258949,-0.6671161266701989,162900.0,False,False,True,False,low,very_new
-1.3478004503108902,0.9026845796008742,-0.863951028811073,-1.3227198400752775,147500.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.0616007367561409,-0.4569033095739903,-1.1354872099201703,159800.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.8561815225324745,-0.09156881381728427,-1.1294338637104884,113900.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.8561815225324745,-0.4344423430845567,-0.8896160782208427,99700.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.8561815225324745,-0.18874687291442566,-0.6688531738434118,132600.0,False,False,True,False,low,very_new
-1.352791757480905,0.9821426581785077,-0.9629626361930661,-0.7721285239598924,107500.0,False,False,True,False,low,very_new
-1.352791757480905,1.6178072867995743,-0.6902223288213722,-0.742703997601527,93800.0,False,False,True,False,low,very_new
-1.352791757480905,1.8561815225324745,-0.33818105812984117,-1.085744495414526,105500.0,False,False,True,False,very_low,very_new
-1.352791757480905,1.6972653653772076,-0.25383783702666185,-1.1729126808339403,108900.0,False,False,True,False,very_low,very_new
-1.352791757480905,1.8561815225324745,-0.8740355443777575,-1.1491730361333632,132000.0,False,False,True,False,very_low,very_new
-1.352791757480905,1.6178072867995743,-0.3299300908480084,-1.0228949704200927,122300.0,False,False,True,False,very_low,very_new
-1.352791757480905,1.8561815225324745,-0.22129235497054375,-1.0049454829635587,115200.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.538349208221941,-0.3271797684207308,-1.0915872904516968,110400.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.6178072867995743,-0.4495691164345834,-1.313666139657319,104900.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.7767234439548412,0.013401825490476934,-0.6002661293980631,109700.0,False,False,True,False,low,very_new
-1.3478004503108902,1.6178072867995743,-0.6512594277682731,-1.2551855514924823,97200.0,False,False,True,False,very_low,very_new
-1.3478004503108902,1.538349208221941,-0.3840197652511343,-1.459893928965975,104500.0,False,False,True,False,very_low,very_new
-1.352791757480905,1.8561815225324745,-0.5155768546892455,-1.2950849986832529,103900.0,False,False,True,False,very_low,very_new
-1.3428091431408828,1.8561815225324745,-0.5343707246089756,-0.205640594319952,191400.0,False,False,True,False,medium,very_new
-1.3428091431408828,1.8561815225324745,-0.093402362102136,-0.6742222287424339,176000.0,False,False,True,False,low,very_new
-1.3428091431408828,1.8561815225324745,-0.44498524572245407,-0.9332001709305501,155400.0,False,False,True,False,very_low,very_new
-1.3428091431408828,1.7767234439548412,-0.7791494206366808,-1.3609348778859633,150000.0,False,False,True,False,very_low,very_new
-1.3428091431408828,1.6178072867995743,-0.8813697375171644,-1.4978984156041497,118800.0,False,False,True,False,very_low,very_new
